"체결시간","체결가","체결량"
"08:30:00 295","7610","+20"
"08:30:01 183","7610","+650"
"08:30:01 691","7610","+50"
"08:30:02 381","7610","+66"
"08:30:05 081","7610","+9"
"08:30:05 977","7610","+337"
"08:30:06 276","7610","+50"
"08:30:06 690","7610","+15"
"08:30:06 786","7610","+10"
"08:30:08 587","7610","+2"
"08:32:06 287","7610","+10"
"08:33:04 083","7610","+50"
"08:33:09 177","7610","+50"
"08:33:21 381","7610","+100"
"08:33:33 493","7610","+50"
"08:33:43 285","7610","+10"
"08:34:08 474","7610","+55"
"08:34:12 485","7610","+97"
"08:36:12 178","7610","+10"
"08:38:16 411","7610","+1000"
"08:38:46 907","7610","+5"
"08:39:02 503","7610","+100"
"09:00:19 818","7460","105598"
"09:00:20 321","7460","+500"
"09:00:20 332","7460","+10"
"09:00:20 334","7460","+1"
"09:00:20 394","7460","+10"
"09:00:20 431","7460","+26"
"09:00:20 493","7460","+394"
"09:00:22 029","7460","+50"
"09:00:22 097","7460","+1"
"09:00:22 099","7450","-300"
"09:00:22 405","7460","+25"
"09:00:22 427","7460","+40"
"09:00:22 512","7460","+300"
"09:00:22 514","7450","-200"
"09:00:22 715","7460","+1"
"09:00:23 010","7450","-1306"
"09:00:23 197","7450","-130"
"09:00:23 199","7450","-150"
"09:00:23 410","7450","-30"
"09:00:23 418","7450","-485"
"09:00:23 830","7450","-1200"
"09:00:23 909","7450","-4484"
"09:00:24 610","7440","-1360"
"09:00:24 614","7440","-100"
"09:00:24 797","7440","-30"
"09:00:25 025","7450","+69"
"09:00:25 114","7440","-670"
"09:00:25 217","7450","+66"
"09:00:25 219","7450","+5"
"09:00:25 295","7450","+1"
"09:00:25 904","7450","+2"
"09:00:25 926","7450","+39"
"09:00:26 510","7450","+50"
"09:00:26 516","7450","+3"
"09:00:27 612","7450","+10"
"09:00:27 703","7440","-300"
"09:00:27 718","7450","+10"
"09:00:27 812","7440","-4"
"09:00:28 608","7440","-1935"
"09:00:28 723","7440","+66"
"09:00:29 517","7440","+402"
"09:00:29 919","7430","-25"
"09:00:29 996","7430","-6"
"09:00:31 230","7440","+300"
"09:00:32 133","7430","-30"
"09:00:32 212","7430","-300"
"09:00:32 288","7440","+1"
"09:00:32 402","7430","-1434"
"09:00:32 734","7430","-300"
"09:00:32 908","7430","-102"
"09:00:32 908","7420","-448"
"09:00:32 911","7420","-20"
"09:00:33 031","7430","-1"
"09:00:33 112","7430","+30"
"09:00:33 608","7430","+5"
"09:00:34 506","7430","+30"
"09:00:35 208","7430","+1"
"09:00:35 321","7430","+66"
"09:00:35 726","7430","+210"
"09:00:35 814","7430","+500"
"09:00:35 816","7430","+300"
"09:00:36 193","7430","+60"
"09:00:36 396","7420","-1001"
"09:00:36 422","7420","-100"
"09:00:36 611","7420","-11"
"09:00:36 707","7420","-31"
"09:00:36 903","7430","+134"
"09:00:37 111","7430","+50"
"09:00:37 503","7420","-83"
"09:00:37 513","7420","-30"
"09:00:37 627","7430","+10"
"09:00:37 810","7430","+131"
"09:00:37 818","7420","-200"
